,BillNumber,BillTitle,BusinessAuthor,BusinessNumber,BusinessShortNumber,BusinessTitle,ID,IdLegislativePeriod,IdSession,Language,MeaningNo,MeaningYes,RegistrationNumber,SessionName,Subject,VoteEnd
30,1,Bundesgesetz über die Zertifizierungsdienste im Bereich der elektronischen Signatur (ZertES),,20010044,01.044,Elektronische Signatur. Bundesgesetz,10,47,4701,DE,Antrag der Minderheit (Leutenegger Oberholzer),Antrag der Mehrheit,29,Wintersession 2003,"1. Zivilgesetzbuch
Art. 970a",2003-12-02T09:21:36
31,1,Loi fédérale sur les services de certification dans le domaine de la signature électronique  (SCSél),,20010044,01.044,Signature électronique. Loi,10,47,4701,EN,Antrag der Minderheit (Leutenegger Oberholzer),Antrag der Mehrheit,29,Session d'hiver 2015,"1. Zivilgesetzbuch
Art. 970a",2003-12-02T09:21:36
32,1,Loi fédérale sur les services de certification dans le domaine de la signature électronique  (SCSél),,20010044,01.044,Signature électronique. Loi,10,47,4701,FR,Antrag der Minderheit (Leutenegger Oberholzer),Antrag der Mehrheit,29,Session d'hiver 2015,"1. Zivilgesetzbuch
Art. 970a",2003-12-02T09:21:36
33,1,Loi fédérale sur les services de certification dans le domaine de la signature électronique  (SCSél),,20010044,01.044,Signature électronique. Loi,10,47,4701,IT,Antrag der Minderheit (Leutenegger Oberholzer),Antrag der Mehrheit,29,Sessione invernale 2015,"1. Zivilgesetzbuch
Art. 970a",2003-12-02T09:21:36
34,1,Bundesgesetz über die Zertifizierungsdienste im Bereich der elektronischen Signatur (ZertES),,20010044,01.044,Elektronische Signatur. Bundesgesetz,10,47,4701,RM,Antrag der Minderheit (Leutenegger Oberholzer),Antrag der Mehrheit,29,Wintersession 2003,"1. Zivilgesetzbuch
Art. 970a",2003-12-02T09:21:36
35,1,Bundesgesetz über die Teilung eingezogener Vermögenswerte (TEVG),,20010064,01.064,Teilung eingezogener Vermögenswerte. Bundesgesetz,13,47,4701,DE,Antrag der Minderheit  II (Leuthard),Antrag der Mehrheit,32,Wintersession 2003,,2003-12-02T10:39:14
36,1,Loi fédérale sur le partage des valeurs patrimoniales confisquées (LVPC),,20010064,01.064,Partage des valeurs patrimoniales confisquées. Loi fédérale,13,47,4701,EN,Antrag der Minderheit  II (Leuthard),Antrag der Mehrheit,32,Session d'hiver 2015,,2003-12-02T10:39:14
37,1,Loi fédérale sur le partage des valeurs patrimoniales confisquées (LVPC),,20010064,01.064,Partage des valeurs patrimoniales confisquées. Loi fédérale,13,47,4701,FR,Antrag der Minderheit  II (Leuthard),Antrag der Mehrheit,32,Session d'hiver 2015,,2003-12-02T10:39:14
38,1,Loi fédérale sur le partage des valeurs patrimoniales confisquées (LVPC),,20010064,01.064,Partage des valeurs patrimoniales confisquées. Loi fédérale,13,47,4701,IT,Antrag der Minderheit  II (Leuthard),Antrag der Mehrheit,32,Sessione invernale 2015,,2003-12-02T10:39:14
39,1,Bundesgesetz über die Teilung eingezogener Vermögenswerte (TEVG),,20010064,01.064,Teilung eingezogener Vermögenswerte. Bundesgesetz,13,47,4701,RM,Antrag der Minderheit  II (Leuthard),Antrag der Mehrheit,32,Wintersession 2003,,2003-12-02T10:39:14
40,1,Bundesgesetz über die Teilung eingezogener Vermögenswerte (TEVG),,20010064,01.064,Teilung eingezogener Vermögenswerte. Bundesgesetz,15,47,4701,DE,,,34,Wintersession 2003,Gesamtabstimmung,2003-12-02T10:42:13
41,1,Loi fédérale sur le partage des valeurs patrimoniales confisquées (LVPC),,20010064,01.064,Partage des valeurs patrimoniales confisquées. Loi fédérale,15,47,4701,EN,,,34,Session d'hiver 2015,Gesamtabstimmung,2003-12-02T10:42:13
42,1,Loi fédérale sur le partage des valeurs patrimoniales confisquées (LVPC),,20010064,01.064,Partage des valeurs patrimoniales confisquées. Loi fédérale,15,47,4701,FR,,,34,Session d'hiver 2015,Gesamtabstimmung,2003-12-02T10:42:13
43,1,Loi fédérale sur le partage des valeurs patrimoniales confisquées (LVPC),,20010064,01.064,Partage des valeurs patrimoniales confisquées. Loi fédérale,15,47,4701,IT,,,34,Sessione invernale 2015,Gesamtabstimmung,2003-12-02T10:42:13
44,1,Bundesgesetz über die Teilung eingezogener Vermögenswerte (TEVG),,20010064,01.064,Teilung eingezogener Vermögenswerte. Bundesgesetz,15,47,4701,RM,,,34,Wintersession 2003,Gesamtabstimmung,2003-12-02T10:42:13
45,1,Bundesgesetz über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (Partnerschaftsgesetz),,20020090,02.090,Eingetragene Partnerschaft gleichgeschlechtlicher Paare. Bundesgesetz,16,47,4701,DE,Antrag Waber + SVP = Nichteintreten,Antrag der Kommission = Eintreten,35,Wintersession 2003,Eintreten,2003-12-02T12:30:18
46,1,Loi fédérale sur le partenariat enregistré entre personnes du même sexe (Loi sur le partenariat enregistré),,20020090,02.090,Partenariat enregistré entre personnes du même sexe. Loi fédérale,16,47,4701,EN,Antrag Waber + SVP = Nichteintreten,Antrag der Kommission = Eintreten,35,Session d'hiver 2015,Eintreten,2003-12-02T12:30:18
47,1,Loi fédérale sur le partenariat enregistré entre personnes du même sexe (Loi sur le partenariat enregistré),,20020090,02.090,Partenariat enregistré entre personnes du même sexe. Loi fédérale,16,47,4701,FR,Antrag Waber + SVP = Nichteintreten,Antrag der Kommission = Eintreten,35,Session d'hiver 2015,Eintreten,2003-12-02T12:30:18
48,1,Loi fédérale sur le partenariat enregistré entre personnes du même sexe (Loi sur le partenariat enregistré),,20020090,02.090,Partenariat enregistré entre personnes du même sexe. Loi fédérale,16,47,4701,IT,Antrag Waber + SVP = Nichteintreten,Antrag der Kommission = Eintreten,35,Sessione invernale 2015,Eintreten,2003-12-02T12:30:18
49,1,Bundesgesetz über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (Partnerschaftsgesetz),,20020090,02.090,Eingetragene Partnerschaft gleichgeschlechtlicher Paare. Bundesgesetz,16,47,4701,RM,Antrag Waber + SVP = Nichteintreten,Antrag der Kommission = Eintreten,35,Wintersession 2003,Eintreten,2003-12-02T12:30:18
50,1,Bundesgesetz über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (Partnerschaftsgesetz),,20020090,02.090,Eingetragene Partnerschaft gleichgeschlechtlicher Paare. Bundesgesetz,26,47,4704,DE,,,46,Sommersession 2004,Schlussabstimmung,2004-06-18T08:27:11
51,1,Loi fédérale sur le partenariat enregistré entre personnes du même sexe (Loi sur le partenariat enregistré),,20020090,02.090,Partenariat enregistré entre personnes du même sexe. Loi fédérale,26,47,4704,EN,,,46,Session d'été 2016,Vote final,2004-06-18T08:27:11
52,1,Loi fédérale sur le partenariat enregistré entre personnes du même sexe (Loi sur le partenariat enregistré),,20020090,02.090,Partenariat enregistré entre personnes du même sexe. Loi fédérale,26,47,4704,FR,,,46,Session d'été 2016,Vote final,2004-06-18T08:27:11
53,1,Loi fédérale sur le partenariat enregistré entre personnes du même sexe (Loi sur le partenariat enregistré),,20020090,02.090,Partenariat enregistré entre personnes du même sexe. Loi fédérale,26,47,4704,IT,,,46,Sessione estiva 2016,Vote final,2004-06-18T08:27:11
54,1,Bundesgesetz über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (Partnerschaftsgesetz),,20020090,02.090,Eingetragene Partnerschaft gleichgeschlechtlicher Paare. Bundesgesetz,26,47,4704,RM,,,46,Sommersession 2004,Schlussabstimmung,2004-06-18T08:27:11
55,1,Bundesgesetz über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (Partnerschaftsgesetz),,20020090,02.090,Eingetragene Partnerschaft gleichgeschlechtlicher Paare. Bundesgesetz,28,47,4701,DE,,,48,Wintersession 2003,Gesamtabstimmung,2003-12-03T09:10:07
56,1,Loi fédérale sur le partenariat enregistré entre personnes du même sexe (Loi sur le partenariat enregistré),,20020090,02.090,Partenariat enregistré entre personnes du même sexe. Loi fédérale,28,47,4701,EN,,,48,Session d'hiver 2015,Vote sur l'ensemble,2003-12-03T09:10:07
57,1,Loi fédérale sur le partenariat enregistré entre personnes du même sexe (Loi sur le partenariat enregistré),,20020090,02.090,Partenariat enregistré entre personnes du même sexe. Loi fédérale,28,47,4701,FR,,,48,Session d'hiver 2015,Vote sur l'ensemble,2003-12-03T09:10:07
58,1,Loi fédérale sur le partenariat enregistré entre personnes du même sexe (Loi sur le partenariat enregistré),,20020090,02.090,Partenariat enregistré entre personnes du même sexe. Loi fédérale,28,47,4701,IT,,,48,Sessione invernale 2015,Vote sur l'ensemble,2003-12-03T09:10:07
59,1,Bundesgesetz über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (Partnerschaftsgesetz),,20020090,02.090,Eingetragene Partnerschaft gleichgeschlechtlicher Paare. Bundesgesetz,28,47,4701,RM,,,48,Wintersession 2003,Gesamtabstimmung,2003-12-03T09:10:07
60,1,Bundesbeschluss über die Genehmigung und die Umsetzung des Zusatzprotokolls zum Übereinkommen des Europarates über die Überstellung verurteilter Personen,,20020035,02.035,Überstellung verurteilter Personen. Änderung des Rechtshilfegesetzes,33,47,4701,DE,,,54,Wintersession 2003,Gesamtabstimmung,2003-12-03T09:24:15
61,1,Arrêté fédéral portant approbation du Protocole additionnel à la Convention du Conseil de l'Europe sur le transfèrement des personnes condamnées,,20020035,02.035,Transfèrement des personnes condamnées. Modification de la loi sur l'entraide pénale,33,47,4701,EN,,,54,Session d'hiver 2015,Vote sur l'ensemble,2003-12-03T09:24:15
62,1,Arrêté fédéral portant approbation du Protocole additionnel à la Convention du Conseil de l'Europe sur le transfèrement des personnes condamnées,,20020035,02.035,Transfèrement des personnes condamnées. Modification de la loi sur l'entraide pénale,33,47,4701,FR,,,54,Session d'hiver 2015,Vote sur l'ensemble,2003-12-03T09:24:15
63,1,Arrêté fédéral portant approbation du Protocole additionnel à la Convention du Conseil de l'Europe sur le transfèrement des personnes condamnées,,20020035,02.035,Transfèrement des personnes condamnées. Modification de la loi sur l'entraide pénale,33,47,4701,IT,,,54,Sessione invernale 2015,Vote sur l'ensemble,2003-12-03T09:24:15
64,1,Bundesbeschluss über die Genehmigung und die Umsetzung des Zusatzprotokolls zum Übereinkommen des Europarates über die Überstellung verurteilter Personen,,20020035,02.035,Überstellung verurteilter Personen. Änderung des Rechtshilfegesetzes,33,47,4701,RM,,,54,Wintersession 2003,Gesamtabstimmung,2003-12-03T09:24:15
65,2,"Bundesgesetz über internationale Rechtshilfe in Strafsachen (Rechtshilfegesetz, IRSG)",,20020035,02.035,Überstellung verurteilter Personen. Änderung des Rechtshilfegesetzes,34,47,4701,DE,,,55,Wintersession 2003,Gesamtabstimmung,2003-12-03T09:25:45
66,2,"Loi fédérale sur l'entraide internationale en matière pénale (Loi sur l'entraide pénale internationale, EIMP)",,20020035,02.035,Transfèrement des personnes condamnées. Modification de la loi sur l'entraide pénale,34,47,4701,EN,,,55,Session d'hiver 2015,Vote sur l'ensemble,2003-12-03T09:25:45
67,2,"Loi fédérale sur l'entraide internationale en matière pénale (Loi sur l'entraide pénale internationale, EIMP)",,20020035,02.035,Transfèrement des personnes condamnées. Modification de la loi sur l'entraide pénale,34,47,4701,FR,,,55,Session d'hiver 2015,Vote sur l'ensemble,2003-12-03T09:25:45
68,2,"Loi fédérale sur l'entraide internationale en matière pénale (Loi sur l'entraide pénale internationale, EIMP)",,20020035,02.035,Transfèrement des personnes condamnées. Modification de la loi sur l'entraide pénale,34,47,4701,IT,,,55,Sessione invernale 2015,Vote sur l'ensemble,2003-12-03T09:25:45
69,2,"Bundesgesetz über internationale Rechtshilfe in Strafsachen (Rechtshilfegesetz, IRSG)",,20020035,02.035,Überstellung verurteilter Personen. Änderung des Rechtshilfegesetzes,34,47,4701,RM,,,55,Wintersession 2003,Gesamtabstimmung,2003-12-03T09:25:45
70,1,Bundesbeschluss betreffend das Zweite Zusatzprotokoll zum Europäischen Übereinkommen über die Rechtshilfe in Strafsachen,,20030025,03.025,Rechtshilfe in Strafsachen. Zweites Zusatzprotokoll zum Europäischen Übereinkommen,35,47,4701,DE,,,56,Wintersession 2003,Gesamtabstimmung,2003-12-03T09:37:38
71,1,Arrêté fédéral relatif au Deuxième Protocole additionnel à la Convention européenne d'entraide judiciaire en matière pénale,,20030025,03.025,Entraide judiciaire en matière pénale. Deuxième protocole additionnel à la Convention européenne,35,47,4701,EN,,,56,Session d'hiver 2015,Vote sur l'ensemble,2003-12-03T09:37:38
72,1,Arrêté fédéral relatif au Deuxième Protocole additionnel à la Convention européenne d'entraide judiciaire en matière pénale,,20030025,03.025,Entraide judiciaire en matière pénale. Deuxième protocole additionnel à la Convention européenne,35,47,4701,FR,,,56,Session d'hiver 2015,Vote sur l'ensemble,2003-12-03T09:37:38
73,1,Arrêté fédéral relatif au Deuxième Protocole additionnel à la Convention européenne d'entraide judiciaire en matière pénale,,20030025,03.025,Entraide judiciaire en matière pénale. Deuxième protocole additionnel à la Convention européenne,35,47,4701,IT,,,56,Sessione invernale 2015,Vote sur l'ensemble,2003-12-03T09:37:38
74,1,Bundesbeschluss betreffend das Zweite Zusatzprotokoll zum Europäischen Übereinkommen über die Rechtshilfe in Strafsachen,,20030025,03.025,Rechtshilfe in Strafsachen. Zweites Zusatzprotokoll zum Europäischen Übereinkommen,35,47,4701,RM,,,56,Wintersession 2003,Gesamtabstimmung,2003-12-03T09:37:38
75,,,Cina,20000405,00.405,SchKG. Schutz gutgläubiger Erwerber,36,47,4701,DE,,,57,Wintersession 2003,Gesamtabstimmung,2003-12-03T09:46:27
76,,,Cina,20000405,00.405,LP. Protection des acquéreurs de bonne foi,36,47,4701,EN,,,57,Session d'hiver 2015,Vote sur l'ensemble,2003-12-03T09:46:27
77,,,Cina,20000405,00.405,LP. Protection des acquéreurs de bonne foi,36,47,4701,FR,,,57,Session d'hiver 2015,Vote sur l'ensemble,2003-12-03T09:46:27
78,,,Cina,20000405,00.405,LP. Protection des acquéreurs de bonne foi,36,47,4701,IT,,,57,Sessione invernale 2015,Vote sur l'ensemble,2003-12-03T09:46:27
79,,,Cina,20000405,00.405,SchKG. Schutz gutgläubiger Erwerber,36,47,4701,RM,,,57,Wintersession 2003,Gesamtabstimmung,2003-12-03T09:46:27
80,1,Bundesgesetz über das Entlastungsprogramm 2003,,20030047,03.047,Entlastungsprogramm 2003 für den Bundeshaushalt,43,47,4701,DE,Antrag der Minderheit (Eggly),Antrag der Mehrheit,66,Wintersession 2003,"7. BG über Massnahmen zur Verbesserung des Bundeshaushaltes
Art. 4a",2003-12-03T12:03:09
81,1,Loi fédérale sur le programme d'allégement budgétaire 2003,,20030047,03.047,Programme d'allégement 2003 du budget de la Confédération,43,47,4701,EN,Antrag der Minderheit (Eggly),Antrag der Mehrheit,66,Session d'hiver 2015,"7. BG über Massnahmen zur Verbesserung des Bundeshaushaltes
Art. 4a",2003-12-03T12:03:09
82,1,Loi fédérale sur le programme d'allégement budgétaire 2003,,20030047,03.047,Programme d'allégement 2003 du budget de la Confédération,43,47,4701,FR,Antrag der Minderheit (Eggly),Antrag der Mehrheit,66,Session d'hiver 2015,"7. BG über Massnahmen zur Verbesserung des Bundeshaushaltes
Art. 4a",2003-12-03T12:03:09
83,1,Legge federale sul programma di sgravio 2003,,20030047,03.047,Programma di sgravio 2003 del budget della Confederazione,43,47,4701,IT,Antrag der Minderheit (Eggly),Antrag der Mehrheit,66,Sessione invernale 2015,"7. BG über Massnahmen zur Verbesserung des Bundeshaushaltes
Art. 4a",2003-12-03T12:03:09
84,1,Bundesgesetz über das Entlastungsprogramm 2003,,20030047,03.047,Entlastungsprogramm 2003 für den Bundeshaushalt,43,47,4701,RM,Antrag der Minderheit (Eggly),Antrag der Mehrheit,66,Wintersession 2003,"7. BG über Massnahmen zur Verbesserung des Bundeshaushaltes
Art. 4a",2003-12-03T12:03:09
85,1,Bundesgesetz über das Entlastungsprogramm 2003,,20030047,03.047,Entlastungsprogramm 2003 für den Bundeshaushalt,46,47,4701,DE,Antrag der Minderheit (Hämmerle),Antrag der Mehrheit,80,Wintersession 2003,23. Einlagen in den Fonds für Eisenbahngrossprojekte,2003-12-04T08:47:14
86,1,Loi fédérale sur le programme d'allégement budgétaire 2003,,20030047,03.047,Programme d'allégement 2003 du budget de la Confédération,46,47,4701,EN,Antrag der Minderheit (Hämmerle),Antrag der Mehrheit,80,Session d'hiver 2015,23. Einlagen in den Fonds für Eisenbahngrossprojekte,2003-12-04T08:47:14
87,1,Loi fédérale sur le programme d'allégement budgétaire 2003,,20030047,03.047,Programme d'allégement 2003 du budget de la Confédération,46,47,4701,FR,Antrag der Minderheit (Hämmerle),Antrag der Mehrheit,80,Session d'hiver 2015,23. Einlagen in den Fonds für Eisenbahngrossprojekte,2003-12-04T08:47:14
88,1,Legge federale sul programma di sgravio 2003,,20030047,03.047,Programma di sgravio 2003 del budget della Confederazione,46,47,4701,IT,Antrag der Minderheit (Hämmerle),Antrag der Mehrheit,80,Sessione invernale 2015,23. Einlagen in den Fonds für Eisenbahngrossprojekte,2003-12-04T08:47:14
89,1,Bundesgesetz über das Entlastungsprogramm 2003,,20030047,03.047,Entlastungsprogramm 2003 für den Bundeshaushalt,46,47,4701,RM,Antrag der Minderheit (Hämmerle),Antrag der Mehrheit,80,Wintersession 2003,23. Einlagen in den Fonds für Eisenbahngrossprojekte,2003-12-04T08:47:14
90,1,Bundesgesetz über das Entlastungsprogramm 2003,,20030047,03.047,Entlastungsprogramm 2003 für den Bundeshaushalt,47,47,4701,DE,Antrag der Minderheit (Beck),Antrag der Mehrheit,81,Wintersession 2003,"7. BG über Massnahmen zur Verbesserung des Bundeshaushaltes
Art. 4a
Zfr. 8 Bildung, Forschung und Technologie",2003-12-09T08:17:58
91,1,Loi fédérale sur le programme d'allégement budgétaire 2003,,20030047,03.047,Programme d'allégement 2003 du budget de la Confédération,47,47,4701,EN,Antrag der Minderheit (Beck),Antrag der Mehrheit,81,Session d'hiver 2015,"7. BG über Massnahmen zur Verbesserung des Bundeshaushaltes
Art. 4a
Zfr. 8 Bildung, Forschung und Technologie",2003-12-09T08:17:58
92,1,Loi fédérale sur le programme d'allégement budgétaire 2003,,20030047,03.047,Programme d'allégement 2003 du budget de la Confédération,47,47,4701,FR,Antrag der Minderheit (Beck),Antrag der Mehrheit,81,Session d'hiver 2015,"7. BG über Massnahmen zur Verbesserung des Bundeshaushaltes
Art. 4a
Zfr. 8 Bildung, Forschung und Technologie",2003-12-09T08:17:58
93,1,Legge federale sul programma di sgravio 2003,,20030047,03.047,Programma di sgravio 2003 del budget della Confederazione,47,47,4701,IT,Antrag der Minderheit (Beck),Antrag der Mehrheit,81,Sessione invernale 2015,"7. BG über Massnahmen zur Verbesserung des Bundeshaushaltes
Art. 4a
Zfr. 8 Bildung, Forschung und Technologie",2003-12-09T08:17:58
94,1,Bundesgesetz über das Entlastungsprogramm 2003,,20030047,03.047,Entlastungsprogramm 2003 für den Bundeshaushalt,47,47,4701,RM,Antrag der Minderheit (Beck),Antrag der Mehrheit,81,Wintersession 2003,"7. BG über Massnahmen zur Verbesserung des Bundeshaushaltes
Art. 4a
Zfr. 8 Bildung, Forschung und Technologie",2003-12-09T08:17:58
95,1,Bundesbeschluss I über den Voranschlag für das Jahr 2004,,20030051,03.051,Voranschlag 2004,62,47,4701,DE,Ablehnung,Zustimmung,96,Wintersession 2003,"Schuldenbremse
",2003-12-09T11:46:16
